transaction_id,date,department,region,vendor,category,amount_usd,status,approved_by,memo
TX0000001,2026-05-30,Finance,West,Oracle,Software,150.00,pending,M. Alvarez,
TX0000002,2026-01-18,Engineering,South,Dell,Hardware,539.20,approved,S. Okafor,
TX0000003,2024-04-23,Engineering,Central,Dell,Hardware,37.05,approved,S. Okafor,
TX0000004,2025-11-26,Operations,Central,Uline,Shipping,1162.40,approved,T. Nguyen,
TX0000005,2024-12-14,Sales,West,Uber,Travel,152.98,approved,R. Patel,
TX0000006,2025-12-21,Sales,International,Uber,Travel,73.03,approved,R. Patel,
TX0000007,2025-02-12,HR,International,Indeed,Recruiting,91.27,approved,L. Rossi,
TX0000008,2025-09-06,Finance,South,Bloomberg,Data Services,156.40,approved,M. Alvarez,
TX0000009,2025-05-05,Engineering,International,Atlassian,Software,754.83,approved,S. Okafor,
TX0000010,2026-09-12,Finance,International,Staples,Office Supplies,3007.89,pending,M. Alvarez,
TX0000011,2024-08-22,Finance,West,Bloomberg,Data Services,131.75,approved,M. Alvarez,
TX0000012,2025-12-16,Operations,South,Home Depot,Maintenance,196.50,approved,T. Nguyen,
TX0000013,2025-12-10,Operations,South,Home Depot,Maintenance,103.51,approved,T. Nguyen,
TX0000014,2026-05-01,Operations,Central,Home Depot,Maintenance,535.91,approved,T. Nguyen,
TX0000015,2025-06-11,Finance,Central,Bloomberg,Data Services,910.12,approved,M. Alvarez,
TX0000016,2024-03-06,Marketing,Central,Vistaprint,Printing,574.48,pending,J. Chen,
TX0000017,2025-07-13,Sales,West,Salesforce,Software,32.14,approved,R. Patel,
TX0000018,2026-02-14,Marketing,Central,Google Ads,Advertising,169.14,approved,J. Chen,
TX0000019,2024-05-14,Sales,International,Delta Air Lines,Travel,177.49,pending,R. Patel,
TX0000020,2025-02-25,Engineering,South,Atlassian,Software,508.31,approved,S. Okafor,
TX0000021,2026-05-03,Engineering,Central,GitHub,Software,116.07,approved,S. Okafor,
TX0000022,2024-11-06,Finance,South,Intuit,Software,153.21,approved,M. Alvarez,
TX0000023,2026-04-04,Finance,East,Bloomberg,Data Services,1282.63,approved,M. Alvarez,
TX0000024,2025-09-04,Engineering,East,GitHub,Software,120.79,approved,S. Okafor,
TX0000025,2026-08-11,Finance,West,Bloomberg,Data Services,21.94,approved,M. Alvarez,
TX0000026,2024-01-21,HR,East,Workday,Software,133.82,approved,L. Rossi,
TX0000027,2025-02-28,Marketing,West,Google Ads,Advertising,100.07,approved,J. Chen,
TX0000028,2026-03-09,Marketing,South,Canva,Software,42.55,approved,J. Chen,
TX0000029,2025-06-23,Marketing,International,Canva,Software,159.44,approved,J. Chen,
TX0000030,2025-02-21,Finance,International,Staples,Office Supplies,1339.19,approved,M. Alvarez,
TX0000031,2024-06-09,HR,Central,Workday,Software,642.31,approved,L. Rossi,
TX0000032,2024-08-07,Engineering,International,GitHub,Software,193.63,approved,S. Okafor,
TX0000033,2026-09-04,Sales,South,Hilton,Travel,48.70,approved,R. Patel,
TX0000034,2024-07-08,HR,West,LinkedIn,Recruiting,1013.58,approved,L. Rossi,
TX0000035,2024-09-24,Sales,Central,Salesforce,Software,79.23,approved,R. Patel,
TX0000036,2024-04-08,Operations,East,FedEx,Shipping,124.12,approved,T. Nguyen,
TX0000037,2026-08-16,Finance,Central,Intuit,Software,366.23,approved,M. Alvarez,
TX0000038,2024-08-08,Operations,International,Uline,Shipping,532.97,approved,T. Nguyen,
TX0000039,2025-11-28,HR,Central,LinkedIn,Recruiting,2362.72,approved,L. Rossi,
TX0000040,2024-01-25,Sales,Central,Salesforce,Software,350.83,approved,R. Patel,
TX0000041,2025-08-22,Sales,West,Salesforce,Software,72.49,approved,R. Patel,
TX0000042,2024-04-25,Sales,East,Hilton,Travel,232.80,approved,R. Patel,
TX0000043,2025-10-25,Finance,Central,Intuit,Software,45.02,approved,M. Alvarez,
TX0000044,2024-09-02,Engineering,South,GitHub,Software,91.71,approved,S. Okafor,
TX0000045,2026-08-15,Marketing,International,Google Ads,Advertising,192.70,approved,J. Chen,
TX0000046,2024-01-17,Operations,Central,FedEx,Shipping,318.79,approved,T. Nguyen,
TX0000047,2024-07-02,Operations,International,FedEx,Shipping,197.68,approved,T. Nguyen,
TX0000048,2026-01-30,Engineering,Central,Atlassian,Software,74.90,approved,S. Okafor,
TX0000049,2025-11-26,Finance,International,Staples,Office Supplies,19.41,pending,M. Alvarez,
TX0000050,2026-03-20,HR,East,Costco,Office Supplies,289.06,approved,L. Rossi,
TX0000051,2025-04-15,Sales,South,Uber,Travel,487.48,approved,R. Patel,
TX0000052,2024-06-06,Operations,South,FedEx,Shipping,26.38,pending,T. Nguyen,
TX0000053,2024-03-27,Sales,Central,Delta Air Lines,Travel,800.23,approved,R. Patel,
TX0000054,2026-09-05,HR,South,Indeed,Recruiting,220.71,approved,L. Rossi,
TX0000055,2025-07-14,Engineering,Central,GitHub,Software,44.39,approved,S. Okafor,
TX0000056,2025-07-08,HR,Central,Workday,Software,55.51,approved,L. Rossi,
TX0000057,2026-08-19,Operations,South,Grainger,Maintenance,1129.97,approved,T. Nguyen,
TX0000058,2024-01-30,Engineering,West,GitHub,Software,95.00,approved,S. Okafor,
TX0000059,2025-09-05,HR,International,LinkedIn,Recruiting,62.28,approved,L. Rossi,
TX0000060,2026-01-14,Finance,West,Oracle,Software,115.34,approved,M. Alvarez,
TX0000061,2026-07-20,Engineering,South,Atlassian,Software,236.45,approved,S. Okafor,
TX0000062,2025-04-11,Engineering,International,GitHub,Software,1258.72,approved,S. Okafor,
TX0000063,2024-09-28,Finance,East,Intuit,Software,2590.25,approved,M. Alvarez,
TX0000064,2025-11-03,Operations,South,FedEx,Shipping,4.13,approved,T. Nguyen,
TX0000065,2025-12-06,Marketing,Central,Google Ads,Advertising,333.22,approved,J. Chen,
TX0000066,2024-08-05,Sales,East,Delta Air Lines,Travel,784.10,approved,R. Patel,
TX0000067,2024-04-30,Engineering,Central,GitHub,Software,120.21,approved,S. Okafor,
TX0000068,2024-08-27,Operations,Central,FedEx,Shipping,20.98,rejected,T. Nguyen,
TX0000069,2025-10-10,Engineering,South,AWS,Cloud,48.30,approved,S. Okafor,
TX0000070,2025-11-26,Engineering,South,Atlassian,Software,254.81,pending,S. Okafor,
TX0000071,2024-03-02,HR,South,Workday,Software,95.37,approved,L. Rossi,
TX0000072,2024-12-08,Finance,International,Oracle,Software,174.55,approved,M. Alvarez,
TX0000073,2024-01-13,Operations,West,Home Depot,Maintenance,601.09,approved,T. Nguyen,
TX0000074,2026-03-20,HR,South,LinkedIn,Recruiting,29.35,approved,L. Rossi,
TX0000075,2024-04-07,Engineering,East,Atlassian,Software,160.96,approved,S. Okafor,
TX0000076,2025-12-23,Marketing,Central,Vistaprint,Printing,23.35,approved,J. Chen,
TX0000077,2025-03-05,Operations,West,Grainger,Maintenance,49.08,approved,T. Nguyen,
TX0000078,2024-12-21,HR,Central,Workday,Software,243.09,approved,L. Rossi,
